nda,abcd,instrument
hormon_sal_notes_y___2,biospec_hormon_sal_notes___2,sph01
hormon_sal_notes_y___3,biospec_hormon_sal_notes___3,sph01
hormon_sal_notes_y___4,biospec_hormon_sal_notes___4,sph01
hormon_sal_notes_y___5,biospec_hormon_sal_notes___5,sph01
hormon_sal_notes_y___6,biospec_hormon_sal_notes___6,sph01
visit,eventname,srpf01
school_2_y,school_risk_phenx_2,srpf01
school_3_y,school_risk_phenx_3,srpf01
school_4_y,school_risk_phenx_4,srpf01
school_5_y,school_risk_phenx_5,srpf01
school_6_y,school_risk_phenx_6,srpf01
school_7_y,school_risk_phenx_7,srpf01
school_8_y,school_risk_phenx_8,srpf01
school_9_y,school_risk_phenx_9,srpf01
school_10_y,school_risk_phenx_10,srpf01
school_12_y,school_risk_phenx_12,srpf01
school_15_y,school_risk_phenx_15,srpf01
school_17_y,school_risk_phenx_17,srpf01
screentime1_p_hours,screentime_1_hours_p,stq01
screentime1_p_minutes,screentime_1_minutes_p,stq01
screentime2_p_hours,screentime_2_hours_p,stq01
screentime2_p_minutes,screentime_2_minutes_p,stq01
scrtime_p_select_lang___1,screentime_select_language_p,stq01
accult_q1_y,accult_phenx_q1, yacc01
accult_q2_y,accult_phenx_q2, yacc01
accult_q3_dropdwn_y,accult_phenx_q3_dropdwn, yacc01
accult_q3_other_y,accult_phenx_q3_other, yacc01
accult_q4_y,accult_phenx_q4, yacc01
accult_q5_y,accult_phenx_q5, yacc01
bal_test1_result_y,biospec_alc_test1_result,yalcs01
bal1_dot_y,biospec_alc1_date,yalcs01
bal_test2_result_y,biospec_alc_test2_result,yalcs01
bal2_dot_y,biospec_alc2_date,yalcs01
bal2_need,biospec_alc2_need,yalcs01
bal2_test1_result_y,biospec_alc2_test1_result,yalcs01
bal21_dot_y,biospec_alc21_date,yalcs01
bal2_test2_result_y,biospec_alc2_test2_result,yalcs01
bal22_dot_y,biospec_alc22_date,yalcs01
smri_visitid,smri_visitid,abcd_smrip101
smri_thick_cdk_banksstslh,smri_thick_cort.desikan_bankssts.lh,abcd_smrip101
smri_thick_cdk_cdacatelh,smri_thick_cort.desikan_caudalanteriorcingulate.lh,abcd_smrip101
smri_thick_cdk_cdmdfrlh,smri_thick_cort.desikan_caudalmiddlefrontal.lh,abcd_smrip101
smri_thick_cdk_cuneuslh,smri_thick_cort.desikan_cuneus.lh,abcd_smrip101
smri_thick_cdk_ehinallh,smri_thick_cort.desikan_entorhinal.lh,abcd_smrip101
smri_thick_cdk_fusiformlh,smri_thick_cort.desikan_fusiform.lh,abcd_smrip101
smri_thick_cdk_ifpllh,smri_thick_cort.desikan_inferiorparietal.lh,abcd_smrip101
smri_thick_cdk_iftmlh,smri_thick_cort.desikan_inferiortemporal.lh,abcd_smrip101
smri_thick_cdk_ihcatelh,smri_thick_cort.desikan_isthmuscingulate.lh,abcd_smrip101
smri_thick_cdk_locclh,smri_thick_cort.desikan_lateraloccipital.lh,abcd_smrip101
smri_thick_cdk_lobfrlh,smri_thick_cort.desikan_lateralorbitofrontal.lh,abcd_smrip101
smri_thick_cdk_linguallh,smri_thick_cort.desikan_lingual.lh,abcd_smrip101
smri_thick_cdk_mobfrlh,smri_thick_cort.desikan_medialorbitofrontal.lh,abcd_smrip101
smri_thick_cdk_mdtmlh,smri_thick_cort.desikan_middletemporal.lh,abcd_smrip101
smri_thick_cdk_parahpallh,smri_thick_cort.desikan_parahippocampal.lh,abcd_smrip101
smri_thick_cdk_paracnlh,smri_thick_cort.desikan_paracentral.lh,abcd_smrip101
smri_thick_cdk_parsopclh,smri_thick_cort.desikan_parsopercularis.lh,abcd_smrip101
smri_thick_cdk_parsobislh,smri_thick_cort.desikan_parsorbitalis.lh,abcd_smrip101
smri_thick_cdk_parstgrislh,smri_thick_cort.desikan_parstriangularis.lh,abcd_smrip101
smri_thick_cdk_pericclh,smri_thick_cort.desikan_pericalcarine.lh,abcd_smrip101
smri_thick_cdk_postcnlh,smri_thick_cort.desikan_postcentral.lh,abcd_smrip101
smri_thick_cdk_ptcatelh,smri_thick_cort.desikan_posteriorcingulate.lh,abcd_smrip101
smri_thick_cdk_precnlh,smri_thick_cort.desikan_precentral.lh,abcd_smrip101
smri_thick_cdk_pclh,smri_thick_cort.desikan_precuneus.lh,abcd_smrip101
smri_thick_cdk_rracatelh,smri_thick_cort.desikan_rostralanteriorcingulate.lh,abcd_smrip101
smri_thick_cdk_rrmdfrlh,smri_thick_cort.desikan_rostralmiddlefrontal.lh,abcd_smrip101
smri_thick_cdk_sufrlh,smri_thick_cort.desikan_superiorfrontal.lh,abcd_smrip101
smri_thick_cdk_supllh,smri_thick_cort.desikan_superiorparietal.lh,abcd_smrip101
smri_thick_cdk_sutmlh,smri_thick_cort.desikan_superiortemporal.lh,abcd_smrip101
smri_thick_cdk_smlh,smri_thick_cort.desikan_supramarginal.lh,abcd_smrip101
smri_thick_cdk_frpolelh,smri_thick_cort.desikan_frontalpole.lh,abcd_smrip101
smri_thick_cdk_tmpolelh,smri_thick_cort.desikan_temporalpole.lh,abcd_smrip101
smri_thick_cdk_trvtmlh,smri_thick_cort.desikan_transversetemporal.lh,abcd_smrip101
smri_thick_cdk_insulalh,smri_thick_cort.desikan_insula.lh,abcd_smrip101
smri_thick_cdk_banksstsrh,smri_thick_cort.desikan_bankssts.rh,abcd_smrip101
smri_thick_cdk_cdacaterh,smri_thick_cort.desikan_caudalanteriorcingulate.rh,abcd_smrip101
smri_thick_cdk_cdmdfrrh,smri_thick_cort.desikan_caudalmiddlefrontal.rh,abcd_smrip101
smri_thick_cdk_cuneusrh,smri_thick_cort.desikan_cuneus.rh,abcd_smrip101
smri_thick_cdk_ehinalrh,smri_thick_cort.desikan_entorhinal.rh,abcd_smrip101
smri_thick_cdk_fusiformrh,smri_thick_cort.desikan_fusiform.rh,abcd_smrip101
smri_thick_cdk_ifplrh,smri_thick_cort.desikan_inferiorparietal.rh,abcd_smrip101
smri_thick_cdk_iftmrh,smri_thick_cort.desikan_inferiortemporal.rh,abcd_smrip101
smri_thick_cdk_ihcaterh,smri_thick_cort.desikan_isthmuscingulate.rh,abcd_smrip101
smri_thick_cdk_loccrh,smri_thick_cort.desikan_lateraloccipital.rh,abcd_smrip101
smri_thick_cdk_lobfrrh,smri_thick_cort.desikan_lateralorbitofrontal.rh,abcd_smrip101
smri_thick_cdk_lingualrh,smri_thick_cort.desikan_lingual.rh,abcd_smrip101
smri_thick_cdk_mobfrrh,smri_thick_cort.desikan_medialorbitofrontal.rh,abcd_smrip101
smri_thick_cdk_mdtmrh,smri_thick_cort.desikan_middletemporal.rh,abcd_smrip101
smri_thick_cdk_parahpalrh,smri_thick_cort.desikan_parahippocampal.rh,abcd_smrip101
smri_thick_cdk_paracnrh,smri_thick_cort.desikan_paracentral.rh,abcd_smrip101
smri_thick_cdk_parsopcrh,smri_thick_cort.desikan_parsopercularis.rh,abcd_smrip101
smri_thick_cdk_parsobisrh,smri_thick_cort.desikan_parsorbitalis.rh,abcd_smrip101
smri_thick_cdk_parstgrisrh,smri_thick_cort.desikan_parstriangularis.rh,abcd_smrip101
smri_thick_cdk_periccrh,smri_thick_cort.desikan_pericalcarine.rh,abcd_smrip101
smri_thick_cdk_postcnrh,smri_thick_cort.desikan_postcentral.rh,abcd_smrip101
smri_thick_cdk_ptcaterh,smri_thick_cort.desikan_posteriorcingulate.rh,abcd_smrip101
smri_thick_cdk_precnrh,smri_thick_cort.desikan_precentral.rh,abcd_smrip101
smri_thick_cdk_pcrh,smri_thick_cort.desikan_precuneus.rh,abcd_smrip101
smri_thick_cdk_rracaterh,smri_thick_cort.desikan_rostralanteriorcingulate.rh,abcd_smrip101
smri_thick_cdk_rrmdfrrh,smri_thick_cort.desikan_rostralmiddlefrontal.rh,abcd_smrip101
smri_thick_cdk_sufrrh,smri_thick_cort.desikan_superiorfrontal.rh,abcd_smrip101
smri_thick_cdk_suplrh,smri_thick_cort.desikan_superiorparietal.rh,abcd_smrip101
smri_thick_cdk_sutmrh,smri_thick_cort.desikan_superiortemporal.rh,abcd_smrip101
smri_thick_cdk_smrh,smri_thick_cort.desikan_supramarginal.rh,abcd_smrip101
smri_thick_cdk_frpolerh,smri_thick_cort.desikan_frontalpole.rh,abcd_smrip101
smri_thick_cdk_tmpolerh,smri_thick_cort.desikan_temporalpole.rh,abcd_smrip101
smri_thick_cdk_trvtmrh,smri_thick_cort.desikan_transversetemporal.rh,abcd_smrip101
smri_thick_cdk_insularh,smri_thick_cort.desikan_insula.rh,abcd_smrip101
smri_thick_cf2_frlh,smri_thick_cort.fuzzy2_frontal.lh,abcd_smrip101
smri_thick_cf2_ptlh,smri_thick_cort.fuzzy2_posterior.lh,abcd_smrip101
smri_thick_cf4_frlh,smri_thick_cort.fuzzy4_frontal.lh,abcd_smrip101
smri_thick_cf4_occlh,smri_thick_cort.fuzzy4_occipital.lh,abcd_smrip101
smri_thick_cf4_tmlh,smri_thick_cort.fuzzy4_temporal.lh,abcd_smrip101
smri_thick_cf4_pllh,smri_thick_cort.fuzzy4_parietal.lh,abcd_smrip101
smri_thick_cf12_cnlh,smri_thick_cort.fuzzy12_central.lh,abcd_smrip101
smri_thick_cf12_occlh,smri_thick_cort.fuzzy12_occipital.lh,abcd_smrip101
smri_thick_cf12_ptoltmlh,smri_thick_cort.fuzzy12_posterolateraltemporal.lh,abcd_smrip101
smri_thick_cf12_supllh,smri_thick_cort.fuzzy12_superiorparietal.lh,abcd_smrip101
smri_thick_cf12_obfrlh,smri_thick_cort.fuzzy12_orbitofrontal.lh,abcd_smrip101
smri_thick_cf12_sutmlh,smri_thick_cort.fuzzy12_superiortemporal.lh,abcd_smrip101
smri_thick_cf12_ifpllh,smri_thick_cort.fuzzy12_inferiorparietal.lh,abcd_smrip101
smri_thick_cf12_dmfrlh,smri_thick_cort.fuzzy12_dorsomedialfrontal.lh,abcd_smrip101
smri_thick_cf12_aomtmlh,smri_thick_cort.fuzzy12_anteromedialtemporal.lh,abcd_smrip101
smri_thick_cf12_pclh,smri_thick_cort.fuzzy12_precuneus.lh,abcd_smrip101
smri_thick_cf12_dlprefrlh,smri_thick_cort.fuzzy12_dorsolateralprefrontal.lh,abcd_smrip101
smri_thick_cf12_parsopclh,smri_thick_cort.fuzzy12_parsopercularis.lh,abcd_smrip101
smri_thick_cf2_frrh,smri_thick_cort.fuzzy2_frontal.rh,abcd_smrip101
smri_thick_cf2_ptrh,smri_thick_cort.fuzzy2_posterior.rh,abcd_smrip101
smri_thick_cf4_frrh,smri_thick_cort.fuzzy4_frontal.rh,abcd_smrip101
smri_thick_cf4_occrh,smri_thick_cort.fuzzy4_occipital.rh,abcd_smrip101
smri_thick_cf4_tmrh,smri_thick_cort.fuzzy4_temporal.rh,abcd_smrip101
smri_thick_cf4_plrh,smri_thick_cort.fuzzy4_parietal.rh,abcd_smrip101
smri_thick_cf12_cnrh,smri_thick_cort.fuzzy12_central.rh,abcd_smrip101
smri_thick_cf12_occrh,smri_thick_cort.fuzzy12_occipital.rh,abcd_smrip101
smri_thick_cf12_ptoltmrh,smri_thick_cort.fuzzy12_posterolateraltemporal.rh,abcd_smrip101
smri_thick_cf12_suplrh,smri_thick_cort.fuzzy12_superiorparietal.rh,abcd_smrip101
smri_thick_cf12_obfrrh,smri_thick_cort.fuzzy12_orbitofrontal.rh,abcd_smrip101
smri_thick_cf12_sutmrh,smri_thick_cort.fuzzy12_superiortemporal.rh,abcd_smrip101
smri_thick_cf12_ifplrh,smri_thick_cort.fuzzy12_inferiorparietal.rh,abcd_smrip101
smri_thick_cf12_dmfrrh,smri_thick_cort.fuzzy12_dorsomedialfrontal.rh,abcd_smrip101
smri_thick_cf12_aomtmrh,smri_thick_cort.fuzzy12_anteromedialtemporal.rh,abcd_smrip101
smri_thick_cf12_pcrh,smri_thick_cort.fuzzy12_precuneus.rh,abcd_smrip101
smri_thick_cf12_dlprefrrh,smri_thick_cort.fuzzy12_dorsolateralprefrontal.rh,abcd_smrip101
smri_thick_cf12_parsopcrh,smri_thick_cort.fuzzy12_parsopercularis.rh,abcd_smrip101
smri_thick_cdk_meanlh,smri_thick_cort.desikan_mean.lh,abcd_smrip101
smri_thick_cdk_meanrh,smri_thick_cort.desikan_mean.rh,abcd_smrip101
smri_thick_cdk_mean,smri_thick_cort.desikan_mean,abcd_smrip101
smri_sulc_cdk_banksstslh,smri_sulc_cort.desikan_bankssts.lh,abcd_smrip101
smri_sulc_cdk_cdacatelh,smri_sulc_cort.desikan_caudalanteriorcingulate.lh,abcd_smrip101
smri_sulc_cdk_cdmdfrlh,smri_sulc_cort.desikan_caudalmiddlefrontal.lh,abcd_smrip101
smri_sulc_cdk_cuneuslh,smri_sulc_cort.desikan_cuneus.lh,abcd_smrip101
smri_sulc_cdk_ehinallh,smri_sulc_cort.desikan_entorhinal.lh,abcd_smrip101
smri_sulc_cdk_fusiformlh,smri_sulc_cort.desikan_fusiform.lh,abcd_smrip101
smri_sulc_cdk_ifpllh,smri_sulc_cort.desikan_inferiorparietal.lh,abcd_smrip101
smri_sulc_cdk_iftmlh,smri_sulc_cort.desikan_inferiortemporal.lh,abcd_smrip101
smri_sulc_cdk_ihcatelh,smri_sulc_cort.desikan_isthmuscingulate.lh,abcd_smrip101
smri_sulc_cdk_locclh,smri_sulc_cort.desikan_lateraloccipital.lh,abcd_smrip101
smri_sulc_cdk_lobfrlh,smri_sulc_cort.desikan_lateralorbitofrontal.lh,abcd_smrip101
smri_sulc_cdk_linguallh,smri_sulc_cort.desikan_lingual.lh,abcd_smrip101
smri_sulc_cdk_mobfrlh,smri_sulc_cort.desikan_medialorbitofrontal.lh,abcd_smrip101
smri_sulc_cdk_mdtmlh,smri_sulc_cort.desikan_middletemporal.lh,abcd_smrip101
smri_sulc_cdk_parahpallh,smri_sulc_cort.desikan_parahippocampal.lh,abcd_smrip101
smri_sulc_cdk_paracnlh,smri_sulc_cort.desikan_paracentral.lh,abcd_smrip101
smri_sulc_cdk_parsopclh,smri_sulc_cort.desikan_parsopercularis.lh,abcd_smrip101
smri_sulc_cdk_parsobislh,smri_sulc_cort.desikan_parsorbitalis.lh,abcd_smrip101
smri_sulc_cdk_parstgrislh,smri_sulc_cort.desikan_parstriangularis.lh,abcd_smrip101
smri_sulc_cdk_pericclh,smri_sulc_cort.desikan_pericalcarine.lh,abcd_smrip101
smri_sulc_cdk_postcnlh,smri_sulc_cort.desikan_postcentral.lh,abcd_smrip101
smri_sulc_cdk_ptcatelh,smri_sulc_cort.desikan_posteriorcingulate.lh,abcd_smrip101
smri_sulc_cdk_precnlh,smri_sulc_cort.desikan_precentral.lh,abcd_smrip101
smri_sulc_cdk_pclh,smri_sulc_cort.desikan_precuneus.lh,abcd_smrip101
smri_sulc_cdk_rracatelh,smri_sulc_cort.desikan_rostralanteriorcingulate.lh,abcd_smrip101
smri_sulc_cdk_rrmdfrlh,smri_sulc_cort.desikan_rostralmiddlefrontal.lh,abcd_smrip101
smri_sulc_cdk_sufrlh,smri_sulc_cort.desikan_superiorfrontal.lh,abcd_smrip101
smri_sulc_cdk_supllh,smri_sulc_cort.desikan_superiorparietal.lh,abcd_smrip101
smri_sulc_cdk_sutmlh,smri_sulc_cort.desikan_superiortemporal.lh,abcd_smrip101
smri_sulc_cdk_smlh,smri_sulc_cort.desikan_supramarginal.lh,abcd_smrip101
smri_sulc_cdk_frpolelh,smri_sulc_cort.desikan_frontalpole.lh,abcd_smrip101
smri_sulc_cdk_tmpolelh,smri_sulc_cort.desikan_temporalpole.lh,abcd_smrip101
smri_sulc_cdk_trvtmlh,smri_sulc_cort.desikan_transversetemporal.lh,abcd_smrip101
smri_sulc_cdk_insulalh,smri_sulc_cort.desikan_insula.lh,abcd_smrip101
smri_sulc_cdk_banksstsrh,smri_sulc_cort.desikan_bankssts.rh,abcd_smrip101
smri_sulc_cdk_cdacaterh,smri_sulc_cort.desikan_caudalanteriorcingulate.rh,abcd_smrip101
smri_sulc_cdk_cdmdfrrh,smri_sulc_cort.desikan_caudalmiddlefrontal.rh,abcd_smrip101
smri_sulc_cdk_cuneusrh,smri_sulc_cort.desikan_cuneus.rh,abcd_smrip101
smri_sulc_cdk_ehinalrh,smri_sulc_cort.desikan_entorhinal.rh,abcd_smrip101
smri_sulc_cdk_fusiformrh,smri_sulc_cort.desikan_fusiform.rh,abcd_smrip101
smri_sulc_cdk_ifplrh,smri_sulc_cort.desikan_inferiorparietal.rh,abcd_smrip101
smri_sulc_cdk_iftmrh,smri_sulc_cort.desikan_inferiortemporal.rh,abcd_smrip101
smri_sulc_cdk_ihcaterh,smri_sulc_cort.desikan_isthmuscingulate.rh,abcd_smrip101
smri_sulc_cdk_loccrh,smri_sulc_cort.desikan_lateraloccipital.rh,abcd_smrip101
smri_sulc_cdk_lobfrrh,smri_sulc_cort.desikan_lateralorbitofrontal.rh,abcd_smrip101
smri_sulc_cdk_lingualrh,smri_sulc_cort.desikan_lingual.rh,abcd_smrip101
smri_sulc_cdk_mobfrrh,smri_sulc_cort.desikan_medialorbitofrontal.rh,abcd_smrip101
smri_sulc_cdk_mdtmrh,smri_sulc_cort.desikan_middletemporal.rh,abcd_smrip101
smri_sulc_cdk_parahpalrh,smri_sulc_cort.desikan_parahippocampal.rh,abcd_smrip101
smri_sulc_cdk_paracnrh,smri_sulc_cort.desikan_paracentral.rh,abcd_smrip101
smri_sulc_cdk_parsopcrh,smri_sulc_cort.desikan_parsopercularis.rh,abcd_smrip101
smri_sulc_cdk_parsobisrh,smri_sulc_cort.desikan_parsorbitalis.rh,abcd_smrip101
smri_sulc_cdk_parstgrisrh,smri_sulc_cort.desikan_parstriangularis.rh,abcd_smrip101
smri_sulc_cdk_periccrh,smri_sulc_cort.desikan_pericalcarine.rh,abcd_smrip101
smri_sulc_cdk_postcnrh,smri_sulc_cort.desikan_postcentral.rh,abcd_smrip101
smri_sulc_cdk_ptcaterh,smri_sulc_cort.desikan_posteriorcingulate.rh,abcd_smrip101
smri_sulc_cdk_precnrh,smri_sulc_cort.desikan_precentral.rh,abcd_smrip101
smri_sulc_cdk_pcrh,smri_sulc_cort.desikan_precuneus.rh,abcd_smrip101
smri_sulc_cdk_rracaterh,smri_sulc_cort.desikan_rostralanteriorcingulate.rh,abcd_smrip101
smri_sulc_cdk_rrmdfrrh,smri_sulc_cort.desikan_rostralmiddlefrontal.rh,abcd_smrip101
smri_sulc_cdk_sufrrh,smri_sulc_cort.desikan_superiorfrontal.rh,abcd_smrip101
smri_sulc_cdk_suplrh,smri_sulc_cort.desikan_superiorparietal.rh,abcd_smrip101
smri_sulc_cdk_sutmrh,smri_sulc_cort.desikan_superiortemporal.rh,abcd_smrip101
smri_sulc_cdk_smrh,smri_sulc_cort.desikan_supramarginal.rh,abcd_smrip101
smri_sulc_cdk_frpolerh,smri_sulc_cort.desikan_frontalpole.rh,abcd_smrip101
smri_sulc_cdk_tmpolerh,smri_sulc_cort.desikan_temporalpole.rh,abcd_smrip101
smri_sulc_cdk_trvtmrh,smri_sulc_cort.desikan_transversetemporal.rh,abcd_smrip101
smri_sulc_cdk_insularh,smri_sulc_cort.desikan_insula.rh,abcd_smrip101
smri_sulc_cf2_frlh,smri_sulc_cort.fuzzy2_frontal.lh,abcd_smrip101
smri_sulc_cf2_ptlh,smri_sulc_cort.fuzzy2_posterior.lh,abcd_smrip101
smri_sulc_cf4_frlh,smri_sulc_cort.fuzzy4_frontal.lh,abcd_smrip101
smri_sulc_cf4_occlh,smri_sulc_cort.fuzzy4_occipital.lh,abcd_smrip101
smri_sulc_cf4_tmlh,smri_sulc_cort.fuzzy4_temporal.lh,abcd_smrip101
smri_sulc_cf4_pllh,smri_sulc_cort.fuzzy4_parietal.lh,abcd_smrip101
smri_sulc_cf12_cnlh,smri_sulc_cort.fuzzy12_central.lh,abcd_smrip101
smri_sulc_cf12_occlh,smri_sulc_cort.fuzzy12_occipital.lh,abcd_smrip101
smri_sulc_cf12_ptoltmlh,smri_sulc_cort.fuzzy12_posterolateraltemporal.lh,abcd_smrip101
smri_sulc_cf12_supllh,smri_sulc_cort.fuzzy12_superiorparietal.lh,abcd_smrip101
smri_sulc_cf12_obfrlh,smri_sulc_cort.fuzzy12_orbitofrontal.lh,abcd_smrip101
smri_sulc_cf12_sutmlh,smri_sulc_cort.fuzzy12_superiortemporal.lh,abcd_smrip101
smri_sulc_cf12_ifpllh,smri_sulc_cort.fuzzy12_inferiorparietal.lh,abcd_smrip101
smri_sulc_cf12_dmfrlh,smri_sulc_cort.fuzzy12_dorsomedialfrontal.lh,abcd_smrip101
smri_sulc_cf12_aomtmlh,smri_sulc_cort.fuzzy12_anteromedialtemporal.lh,abcd_smrip101
smri_sulc_cf12_pclh,smri_sulc_cort.fuzzy12_precuneus.lh,abcd_smrip101
smri_sulc_cf12_dlprefrlh,smri_sulc_cort.fuzzy12_dorsolateralprefrontal.lh,abcd_smrip101
smri_sulc_cf12_parsopclh,smri_sulc_cort.fuzzy12_parsopercularis.lh,abcd_smrip101
smri_sulc_cf2_frrh,smri_sulc_cort.fuzzy2_frontal.rh,abcd_smrip101
smri_sulc_cf2_ptrh,smri_sulc_cort.fuzzy2_posterior.rh,abcd_smrip101
smri_sulc_cf4_frrh,smri_sulc_cort.fuzzy4_frontal.rh,abcd_smrip101
smri_sulc_cf4_occrh,smri_sulc_cort.fuzzy4_occipital.rh,abcd_smrip101
smri_sulc_cf4_tmrh,smri_sulc_cort.fuzzy4_temporal.rh,abcd_smrip101
smri_sulc_cf4_plrh,smri_sulc_cort.fuzzy4_parietal.rh,abcd_smrip101
smri_sulc_cf12_cnrh,smri_sulc_cort.fuzzy12_central.rh,abcd_smrip101
smri_sulc_cf12_occrh,smri_sulc_cort.fuzzy12_occipital.rh,abcd_smrip101
smri_sulc_cf12_ptoltmrh,smri_sulc_cort.fuzzy12_posterolateraltemporal.rh,abcd_smrip101
smri_sulc_cf12_suplrh,smri_sulc_cort.fuzzy12_superiorparietal.rh,abcd_smrip101
smri_sulc_cf12_obfrrh,smri_sulc_cort.fuzzy12_orbitofrontal.rh,abcd_smrip101
smri_sulc_cf12_sutmrh,smri_sulc_cort.fuzzy12_superiortemporal.rh,abcd_smrip101
smri_sulc_cf12_ifplrh,smri_sulc_cort.fuzzy12_inferiorparietal.rh,abcd_smrip101
smri_sulc_cf12_dmfrrh,smri_sulc_cort.fuzzy12_dorsomedialfrontal.rh,abcd_smrip101
smri_sulc_cf12_aomtmrh,smri_sulc_cort.fuzzy12_anteromedialtemporal.rh,abcd_smrip101
smri_sulc_cf12_pcrh,smri_sulc_cort.fuzzy12_precuneus.rh,abcd_smrip101
smri_sulc_cf12_dlprefrrh,smri_sulc_cort.fuzzy12_dorsolateralprefrontal.rh,abcd_smrip101
smri_sulc_cf12_parsopcrh,smri_sulc_cort.fuzzy12_parsopercularis.rh,abcd_smrip101
smri_sulc_cdk_meanlh,smri_sulc_cort.desikan_mean.lh,abcd_smrip101
smri_sulc_cdk_meanrh,smri_sulc_cort.desikan_mean.rh,abcd_smrip101
smri_sulc_cdk_mean,smri_sulc_cort.desikan_mean,abcd_smrip101
smri_area_cdk_banksstslh,smri_area_cort.desikan_bankssts.lh,abcd_smrip101
smri_area_cdk_cdacatelh,smri_area_cort.desikan_caudalanteriorcingulate.lh,abcd_smrip101
smri_area_cdk_cdmdfrlh,smri_area_cort.desikan_caudalmiddlefrontal.lh,abcd_smrip101
smri_area_cdk_cuneuslh,smri_area_cort.desikan_cuneus.lh,abcd_smrip101
smri_area_cdk_ehinallh,smri_area_cort.desikan_entorhinal.lh,abcd_smrip101
smri_area_cdk_fusiformlh,smri_area_cort.desikan_fusiform.lh,abcd_smrip101
smri_area_cdk_ifpllh,smri_area_cort.desikan_inferiorparietal.lh,abcd_smrip101
smri_area_cdk_iftmlh,smri_area_cort.desikan_inferiortemporal.lh,abcd_smrip101
smri_area_cdk_ihcatelh,smri_area_cort.desikan_isthmuscingulate.lh,abcd_smrip101
smri_area_cdk_locclh,smri_area_cort.desikan_lateraloccipital.lh,abcd_smrip101
smri_area_cdk_lobfrlh,smri_area_cort.desikan_lateralorbitofrontal.lh,abcd_smrip101
smri_area_cdk_linguallh,smri_area_cort.desikan_lingual.lh,abcd_smrip101
smri_area_cdk_mobfrlh,smri_area_cort.desikan_medialorbitofrontal.lh,abcd_smrip101
smri_area_cdk_mdtmlh,smri_area_cort.desikan_middletemporal.lh,abcd_smrip101
smri_area_cdk_parahpallh,smri_area_cort.desikan_parahippocampal.lh,abcd_smrip101
smri_area_cdk_paracnlh,smri_area_cort.desikan_paracentral.lh,abcd_smrip101
smri_area_cdk_parsopclh,smri_area_cort.desikan_parsopercularis.lh,abcd_smrip101
smri_area_cdk_parsobislh,smri_area_cort.desikan_parsorbitalis.lh,abcd_smrip101
smri_area_cdk_parstgrislh,smri_area_cort.desikan_parstriangularis.lh,abcd_smrip101
smri_area_cdk_pericclh,smri_area_cort.desikan_pericalcarine.lh,abcd_smrip101
smri_area_cdk_postcnlh,smri_area_cort.desikan_postcentral.lh,abcd_smrip101
smri_area_cdk_ptcatelh,smri_area_cort.desikan_posteriorcingulate.lh,abcd_smrip101
smri_area_cdk_precnlh,smri_area_cort.desikan_precentral.lh,abcd_smrip101
smri_area_cdk_pclh,smri_area_cort.desikan_precuneus.lh,abcd_smrip101
smri_area_cdk_rracatelh,smri_area_cort.desikan_rostralanteriorcingulate.lh,abcd_smrip101
smri_area_cdk_rrmdfrlh,smri_area_cort.desikan_rostralmiddlefrontal.lh,abcd_smrip101
smri_area_cdk_sufrlh,smri_area_cort.desikan_superiorfrontal.lh,abcd_smrip101
smri_area_cdk_supllh,smri_area_cort.desikan_superiorparietal.lh,abcd_smrip101
smri_area_cdk_sutmlh,smri_area_cort.desikan_superiortemporal.lh,abcd_smrip101
smri_area_cdk_smlh,smri_area_cort.desikan_supramarginal.lh,abcd_smrip101
smri_area_cdk_frpolelh,smri_area_cort.desikan_frontalpole.lh,abcd_smrip101
smri_area_cdk_tmpolelh,smri_area_cort.desikan_temporalpole.lh,abcd_smrip101
smri_area_cdk_trvtmlh,smri_area_cort.desikan_transversetemporal.lh,abcd_smrip101
smri_area_cdk_insulalh,smri_area_cort.desikan_insula.lh,abcd_smrip101
smri_area_cdk_banksstsrh,smri_area_cort.desikan_bankssts.rh,abcd_smrip101
smri_area_cdk_cdacaterh,smri_area_cort.desikan_caudalanteriorcingulate.rh,abcd_smrip101
smri_area_cdk_cdmdfrrh,smri_area_cort.desikan_caudalmiddlefrontal.rh,abcd_smrip101
smri_area_cdk_cuneusrh,smri_area_cort.desikan_cuneus.rh,abcd_smrip101
smri_area_cdk_ehinalrh,smri_area_cort.desikan_entorhinal.rh,abcd_smrip101
smri_area_cdk_fusiformrh,smri_area_cort.desikan_fusiform.rh,abcd_smrip101
smri_area_cdk_ifplrh,smri_area_cort.desikan_inferiorparietal.rh,abcd_smrip101
smri_area_cdk_iftmrh,smri_area_cort.desikan_inferiortemporal.rh,abcd_smrip101
smri_area_cdk_ihcaterh,smri_area_cort.desikan_isthmuscingulate.rh,abcd_smrip101
smri_area_cdk_loccrh,smri_area_cort.desikan_lateraloccipital.rh,abcd_smrip101
smri_area_cdk_lobfrrh,smri_area_cort.desikan_lateralorbitofrontal.rh,abcd_smrip101
smri_area_cdk_lingualrh,smri_area_cort.desikan_lingual.rh,abcd_smrip101
smri_area_cdk_mobfrrh,smri_area_cort.desikan_medialorbitofrontal.rh,abcd_smrip101
smri_area_cdk_mdtmrh,smri_area_cort.desikan_middletemporal.rh,abcd_smrip101
smri_area_cdk_parahpalrh,smri_area_cort.desikan_parahippocampal.rh,abcd_smrip101
smri_area_cdk_paracnrh,smri_area_cort.desikan_paracentral.rh,abcd_smrip101
